,inn,n_requests,documents_len,result_type_proigrano,result_type_viygrano,result_type_ne_udalos_opredelit,num_of_active_cases,case_side_type_0,case_side_type_1,case_side_type_2,proigrano_sum,viygrano_sum,cases_len,is_bankrupt,year,long_term_liabilities_fiscal_year,short_term_liabilities_fiscal_year,balance_assets_fiscal_year,okei
0,7736609147,1,253,23,6,23,1,2,57,0,51153662.45,10395854.55,59,1,2012.0,0.0,75255.0,85541.0,384.0
1,5028024427,1,99,1,0,1,1,1,1,0,4269304.88,0.0,4,1,2013.0,0.0,59825.0,48360.0,384.0
2,7622005092,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,
3,7455005950,1,76,1,2,2,1,1,5,0,7779.05,808000.0,6,1,2013.0,38411.0,4198.0,45890.0,384.0
4,2111000271,1,150,1,2,9,0,3,10,0,2439854.48,2439854.48,13,1,2012.0,0.0,0.0,6122.0,384.0
5,3607001642,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,
6,5030002212,1,1504,36,0,10,5,3,45,0,25855307.66,0.0,48,1,2017.0,95507.0,6827.0,119730.0,384.0
7,7415064205,1,180,13,2,8,2,2,24,0,1634460.92,728000.0,26,1,2012.0,0.0,0.0,2245.0,384.0
8,2536163593,1,909,2,3,9,1,2,17,0,654198.41,1351974.89,19,0,2012.0,11445.0,544.0,41879.0,384.0
9,5019015634,2,2429,29,23,45,4,33,89,3,40212655.84,18572124.55,140,1,2012.0,0.0,137931.0,441110.0,384.0
10,5414100369,1,99,2,0,1,0,0,3,0,370584.29,0.0,3,1,2013.0,0.0,242.0,91013.0,384.0
11,2347009476,1,2453,39,1,37,11,9,84,0,3124834.21,0.0,95,1,2012.0,125.0,85463.0,85948.0,384.0
12,4321000070,1,1840,2,2,23,1,7,32,0,169716145.2,4657460.5,39,1,2012.0,0.0,0.0,53914.0,384.0
13,1429006530,1,2402,27,2,34,3,8,75,0,25689427.49,0.0,84,1,2017.0,0.0,147399.0,218592.0,384.0
14,3505003270,1,134,0,4,19,0,6,18,0,0.0,0.0,24,0,2012.0,21461.0,20211.0,81132.0,384.0
15,7722651420,1,92,10,2,8,3,3,17,0,322028179.27,5849154.35,20,0,2012.0,80.0,409695.0,408655.0,384.0
16,6732030100,1,1232,0,19,24,0,13,43,0,0.0,189484257.44,56,1,2012.0,0.0,0.0,114350.0,384.0
17,1001227084,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,
18,6907010474,2,501,18,0,136,3,20,135,0,7666480.78,0.0,155,1,2013.0,0.0,7470741.0,5635748.0,383.0
19,1701050442,1,160,5,1,8,0,4,16,0,253432.37,0.0,20,1,2012.0,0.0,976.0,7794.0,384.0
20,7701651532,2,1540,18,5,78,2,6,109,0,37869312.66,26043030.77,115,1,2012.0,4.0,384807.0,289756.0,384.0
21,4029028408,1,6,0,0,0,0,0,2,0,0.0,0.0,2,0,2012.0,0.0,0.0,120.0,384.0
22,7326037640,1,773,11,3,10,0,9,24,0,203954192.08,98748250.48,33,1,2012.0,0.0,0.0,34731.0,384.0
23,4521003135,1,195,0,0,1,0,0,2,0,0.0,0.0,2,0,2012.0,0.0,0.0,4537.0,384.0
24,5535007195,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,
25,3525203863,1,8,0,0,2,0,0,2,0,0.0,0.0,2,0,2017.0,0.0,1317.0,348.0,384.0
26,7724793607,1,877,28,7,28,3,10,67,0,184894506.19,255866910.22,79,1,2012.0,0.0,0.0,869484.0,384.0
27,5044075933,1,197,12,3,4,1,4,15,0,59822439.68,1022070.34,24,1,2013.0,6.0,30274.0,10116.0,384.0
28,7701223216,1,2,1,0,0,0,0,1,0,296303.4,0.0,1,0,2012.0,0.0,0.0,5468.0,384.0
29,3507005160,1,714,2,0,11,0,5,9,0,9448254.57,0.0,14,1,2017.0,16160.0,14753.0,7301.0,384.0
30,6105007117,1,2,1,0,0,0,0,1,0,0.0,0.0,1,0,2012.0,0.0,0.0,4416.0,384.0
31,1203000142,5,7447,48,26,260,19,45,350,11,86398555.5,63135907.0,408,1,2017.0,252652.0,165670.0,493782.0,384.0
32,2107004611,1,77,1,0,6,0,1,8,0,1442100.0,0.0,9,1,2012.0,0.0,0.0,3468.0,384.0
33,6452018325,1,97,0,0,3,0,1,7,0,0.0,0.0,8,0,2013.0,87.0,99.0,3093.0,384.0
34,1411004211,1,134,9,1,4,0,3,15,0,13047612.99,0.0,19,1,2012.0,0.0,0.0,167857.0,384.0
35,7714149601,1,684,10,2,11,0,4,24,0,2225177701.37,1179615.0,28,1,2012.0,142362.0,120315.0,260746.0,384.0
36,6730010179,1,132,0,3,4,0,1,10,0,0.0,1023800.12,11,0,2012.0,0.0,0.0,12859.0,384.0
37,3721002810,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,
38,6658410536,1,8,0,1,1,0,0,2,0,0.0,2326038.24,2,0,2013.0,4.0,94.0,2536.0,384.0
